LookUp_BoroughName,MajorText,MinorText,Date,Homicide_Counts
Barking and Dagenham,Violence Against the Person,Homicide,2019-06-01,0
Barnet,Violence Against the Person,Homicide,2019-06-01,1
Bexley,Violence Against the Person,Homicide,2019-06-01,0
Brent,Violence Against the Person,Homicide,2019-06-01,0
Bromley,Violence Against the Person,Homicide,2019-06-01,0
Camden,Violence Against the Person,Homicide,2019-06-01,0
Croydon,Violence Against the Person,Homicide,2019-06-01,1
Ealing,Violence Against the Person,Homicide,2019-06-01,0
Enfield,Violence Against the Person,Homicide,2019-06-01,0
Greenwich,Violence Against the Person,Homicide,2019-06-01,1
Hackney,Violence Against the Person,Homicide,2019-06-01,0
Hammersmith and Fulham,Violence Against the Person,Homicide,2019-06-01,2
Haringey,Violence Against the Person,Homicide,2019-06-01,1
Harrow,Violence Against the Person,Homicide,2019-06-01,0
Havering,Violence Against the Person,Homicide,2019-06-01,1
Hillingdon,Violence Against the Person,Homicide,2019-06-01,0
Hounslow,Violence Against the Person,Homicide,2019-06-01,1
Islington,Violence Against the Person,Homicide,2019-06-01,1
Kensington and Chelsea,Violence Against the Person,Homicide,2019-06-01,1
Kingston upon Thames,Violence Against the Person,Homicide,2019-06-01,0
Lambeth,Violence Against the Person,Homicide,2019-06-01,1
Lewisham,Violence Against the Person,Homicide,2019-06-01,1
London Heathrow and London City Airports,Violence Against the Person,Homicide,2019-06-01,0
Merton,Violence Against the Person,Homicide,2019-06-01,0
Newham,Violence Against the Person,Homicide,2019-06-01,2
Redbridge,Violence Against the Person,Homicide,2019-06-01,1
Richmond upon Thames,Violence Against the Person,Homicide,2019-06-01,0
Southwark,Violence Against the Person,Homicide,2019-06-01,1
Sutton,Violence Against the Person,Homicide,2019-06-01,0
Tower Hamlets,Violence Against the Person,Homicide,2019-06-01,1
Waltham Forest,Violence Against the Person,Homicide,2019-06-01,0
Wandsworth,Violence Against the Person,Homicide,2019-06-01,2
Westminster,Violence Against the Person,Homicide,2019-06-01,0
Barking and Dagenham,Violence Against the Person,Homicide,2019-07-01,0
Barnet,Violence Against the Person,Homicide,2019-07-01,0
Bexley,Violence Against the Person,Homicide,2019-07-01,0
Brent,Violence Against the Person,Homicide,2019-07-01,2
Bromley,Violence Against the Person,Homicide,2019-07-01,1
Camden,Violence Against the Person,Homicide,2019-07-01,1
Croydon,Violence Against the Person,Homicide,2019-07-01,2
Ealing,Violence Against the Person,Homicide,2019-07-01,0
Enfield,Violence Against the Person,Homicide,2019-07-01,1
Greenwich,Violence Against the Person,Homicide,2019-07-01,1
Hackney,Violence Against the Person,Homicide,2019-07-01,0
Hammersmith and Fulham,Violence Against the Person,Homicide,2019-07-01,0
Haringey,Violence Against the Person,Homicide,2019-07-01,0
Harrow,Violence Against the Person,Homicide,2019-07-01,0
Havering,Violence Against the Person,Homicide,2019-07-01,0
Hillingdon,Violence Against the Person,Homicide,2019-07-01,1
Hounslow,Violence Against the Person,Homicide,2019-07-01,0
Islington,Violence Against the Person,Homicide,2019-07-01,1
Kensington and Chelsea,Violence Against the Person,Homicide,2019-07-01,0
Kingston upon Thames,Violence Against the Person,Homicide,2019-07-01,1
Lambeth,Violence Against the Person,Homicide,2019-07-01,0
Lewisham,Violence Against the Person,Homicide,2019-07-01,0
London Heathrow and London City Airports,Violence Against the Person,Homicide,2019-07-01,0
Merton,Violence Against the Person,Homicide,2019-07-01,0
Newham,Violence Against the Person,Homicide,2019-07-01,0
Redbridge,Violence Against the Person,Homicide,2019-07-01,0
Richmond upon Thames,Violence Against the Person,Homicide,2019-07-01,2
Southwark,Violence Against the Person,Homicide,2019-07-01,1
Sutton,Violence Against the Person,Homicide,2019-07-01,0
Tower Hamlets,Violence Against the Person,Homicide,2019-07-01,0
Waltham Forest,Violence Against the Person,Homicide,2019-07-01,1
Wandsworth,Violence Against the Person,Homicide,2019-07-01,1
Westminster,Violence Against the Person,Homicide,2019-07-01,0
Barking and Dagenham,Violence Against the Person,Homicide,2019-08-01,0
Barnet,Violence Against the Person,Homicide,2019-08-01,0
Bexley,Violence Against the Person,Homicide,2019-08-01,0
Brent,Violence Against the Person,Homicide,2019-08-01,0
Bromley,Violence Against the Person,Homicide,2019-08-01,0
Camden,Violence Against the Person,Homicide,2019-08-01,1
Croydon,Violence Against the Person,Homicide,2019-08-01,0
Ealing,Violence Against the Person,Homicide,2019-08-01,1
Enfield,Violence Against the Person,Homicide,2019-08-01,0
Greenwich,Violence Against the Person,Homicide,2019-08-01,0
Hackney,Violence Against the Person,Homicide,2019-08-01,1
Hammersmith and Fulham,Violence Against the Person,Homicide,2019-08-01,1
Haringey,Violence Against the Person,Homicide,2019-08-01,2
Harrow,Violence Against the Person,Homicide,2019-08-01,0
Havering,Violence Against the Person,Homicide,2019-08-01,0
Hillingdon,Violence Against the Person,Homicide,2019-08-01,0
Hounslow,Violence Against the Person,Homicide,2019-08-01,0
Islington,Violence Against the Person,Homicide,2019-08-01,0
Kensington and Chelsea,Violence Against the Person,Homicide,2019-08-01,0
Kingston upon Thames,Violence Against the Person,Homicide,2019-08-01,0
Lambeth,Violence Against the Person,Homicide,2019-08-01,2
Lewisham,Violence Against the Person,Homicide,2019-08-01,0
London Heathrow and London City Airports,Violence Against the Person,Homicide,2019-08-01,0
Merton,Violence Against the Person,Homicide,2019-08-01,0
Newham,Violence Against the Person,Homicide,2019-08-01,1
Redbridge,Violence Against the Person,Homicide,2019-08-01,1
Richmond upon Thames,Violence Against the Person,Homicide,2019-08-01,0
Southwark,Violence Against the Person,Homicide,2019-08-01,0
Sutton,Violence Against the Person,Homicide,2019-08-01,0
Tower Hamlets,Violence Against the Person,Homicide,2019-08-01,0
Waltham Forest,Violence Against the Person,Homicide,2019-08-01,0
Wandsworth,Violence Against the Person,Homicide,2019-08-01,1
Westminster,Violence Against the Person,Homicide,2019-08-01,0
Barking and Dagenham,Violence Against the Person,Homicide,2019-09-01,0
Barnet,Violence Against the Person,Homicide,2019-09-01,0
Bexley,Violence Against the Person,Homicide,2019-09-01,0
Brent,Violence Against the Person,Homicide,2019-09-01,0
Bromley,Violence Against the Person,Homicide,2019-09-01,0
Camden,Violence Against the Person,Homicide,2019-09-01,3
Croydon,Violence Against the Person,Homicide,2019-09-01,0
Ealing,Violence Against the Person,Homicide,2019-09-01,3
Enfield,Violence Against the Person,Homicide,2019-09-01,2
Greenwich,Violence Against the Person,Homicide,2019-09-01,0
Hackney,Violence Against the Person,Homicide,2019-09-01,0
Hammersmith and Fulham,Violence Against the Person,Homicide,2019-09-01,0
Haringey,Violence Against the Person,Homicide,2019-09-01,1
Harrow,Violence Against the Person,Homicide,2019-09-01,0
Havering,Violence Against the Person,Homicide,2019-09-01,0
Hillingdon,Violence Against the Person,Homicide,2019-09-01,0
Hounslow,Violence Against the Person,Homicide,2019-09-01,0
Islington,Violence Against the Person,Homicide,2019-09-01,0
Kensington and Chelsea,Violence Against the Person,Homicide,2019-09-01,0
Kingston upon Thames,Violence Against the Person,Homicide,2019-09-01,0
Lambeth,Violence Against the Person,Homicide,2019-09-01,1
Lewisham,Violence Against the Person,Homicide,2019-09-01,0
London Heathrow and London City Airports,Violence Against the Person,Homicide,2019-09-01,0
Merton,Violence Against the Person,Homicide,2019-09-01,0
Newham,Violence Against the Person,Homicide,2019-09-01,1
Redbridge,Violence Against the Person,Homicide,2019-09-01,1
Richmond upon Thames,Violence Against the Person,Homicide,2019-09-01,0
Southwark,Violence Against the Person,Homicide,2019-09-01,0
Sutton,Violence Against the Person,Homicide,2019-09-01,0
Tower Hamlets,Violence Against the Person,Homicide,2019-09-01,0
Waltham Forest,Violence Against the Person,Homicide,2019-09-01,0
Wandsworth,Violence Against the Person,Homicide,2019-09-01,0
Westminster,Violence Against the Person,Homicide,2019-09-01,1
Barking and Dagenham,Violence Against the Person,Homicide,2019-10-01,0
Barnet,Violence Against the Person,Homicide,2019-10-01,0
Bexley,Violence Against the Person,Homicide,2019-10-01,1
Brent,Violence Against the Person,Homicide,2019-10-01,1
Bromley,Violence Against the Person,Homicide,2019-10-01,0
Camden,Violence Against the Person,Homicide,2019-10-01,0
Croydon,Violence Against the Person,Homicide,2019-10-01,1
Ealing,Violence Against the Person,Homicide,2019-10-01,0
Enfield,Violence Against the Person,Homicide,2019-10-01,1
Greenwich,Violence Against the Person,Homicide,2019-10-01,2
Hackney,Violence Against the Person,Homicide,2019-10-01,0
Hammersmith and Fulham,Violence Against the Person,Homicide,2019-10-01,0
Haringey,Violence Against the Person,Homicide,2019-10-01,0
Harrow,Violence Against the Person,Homicide,2019-10-01,0
Havering,Violence Against the Person,Homicide,2019-10-01,0
Hillingdon,Violence Against the Person,Homicide,2019-10-01,0
Hounslow,Violence Against the Person,Homicide,2019-10-01,0
Islington,Violence Against the Person,Homicide,2019-10-01,1
Kensington and Chelsea,Violence Against the Person,Homicide,2019-10-01,0
Kingston upon Thames,Violence Against the Person,Homicide,2019-10-01,0
Lambeth,Violence Against the Person,Homicide,2019-10-01,0
Lewisham,Violence Against the Person,Homicide,2019-10-01,0
London Heathrow and London City Airports,Violence Against the Person,Homicide,2019-10-01,0
Merton,Violence Against the Person,Homicide,2019-10-01,0
Newham,Violence Against the Person,Homicide,2019-10-01,1
Redbridge,Violence Against the Person,Homicide,2019-10-01,0
Richmond upon Thames,Violence Against the Person,Homicide,2019-10-01,0
Southwark,Violence Against the Person,Homicide,2019-10-01,2
Sutton,Violence Against the Person,Homicide,2019-10-01,0
Tower Hamlets,Violence Against the Person,Homicide,2019-10-01,0
Waltham Forest,Violence Against the Person,Homicide,2019-10-01,0
Wandsworth,Violence Against the Person,Homicide,2019-10-01,0
Westminster,Violence Against the Person,Homicide,2019-10-01,0
Barking and Dagenham,Violence Against the Person,Homicide,2019-11-01,0
Barnet,Violence Against the Person,Homicide,2019-11-01,0
Bexley,Violence Against the Person,Homicide,2019-11-01,0
Brent,Violence Against the Person,Homicide,2019-11-01,1
Bromley,Violence Against the Person,Homicide,2019-11-01,0
Camden,Violence Against the Person,Homicide,2019-11-01,0
Croydon,Violence Against the Person,Homicide,2019-11-01,0
Ealing,Violence Against the Person,Homicide,2019-11-01,1
Enfield,Violence Against the Person,Homicide,2019-11-01,0
Greenwich,Violence Against the Person,Homicide,2019-11-01,0
Hackney,Violence Against the Person,Homicide,2019-11-01,0
Hammersmith and Fulham,Violence Against the Person,Homicide,2019-11-01,0
Haringey,Violence Against the Person,Homicide,2019-11-01,0
Harrow,Violence Against the Person,Homicide,2019-11-01,1
Havering,Violence Against the Person,Homicide,2019-11-01,0
Hillingdon,Violence Against the Person,Homicide,2019-11-01,1
Hounslow,Violence Against the Person,Homicide,2019-11-01,0
Islington,Violence Against the Person,Homicide,2019-11-01,0
Kensington and Chelsea,Violence Against the Person,Homicide,2019-11-01,0
Kingston upon Thames,Violence Against the Person,Homicide,2019-11-01,0
Lambeth,Violence Against the Person,Homicide,2019-11-01,0
Lewisham,Violence Against the Person,Homicide,2019-11-01,0
London Heathrow and London City Airports,Violence Against the Person,Homicide,2019-11-01,0
Merton,Violence Against the Person,Homicide,2019-11-01,0
Newham,Violence Against the Person,Homicide,2019-11-01,0
Redbridge,Violence Against the Person,Homicide,2019-11-01,3
Richmond upon Thames,Violence Against the Person,Homicide,2019-11-01,0
Southwark,Violence Against the Person,Homicide,2019-11-01,0
Sutton,Violence Against the Person,Homicide,2019-11-01,0
Tower Hamlets,Violence Against the Person,Homicide,2019-11-01,2
Waltham Forest,Violence Against the Person,Homicide,2019-11-01,0
Wandsworth,Violence Against the Person,Homicide,2019-11-01,0
Westminster,Violence Against the Person,Homicide,2019-11-01,0
Barking and Dagenham,Violence Against the Person,Homicide,2019-12-01,1
Barnet,Violence Against the Person,Homicide,2019-12-01,2
Bexley,Violence Against the Person,Homicide,2019-12-01,1
Brent,Violence Against the Person,Homicide,2019-12-01,1
Bromley,Violence Against the Person,Homicide,2019-12-01,0
Camden,Violence Against the Person,Homicide,2019-12-01,0
Croydon,Violence Against the Person,Homicide,2019-12-01,2
Ealing,Violence Against the Person,Homicide,2019-12-01,1
Enfield,Violence Against the Person,Homicide,2019-12-01,0
Greenwich,Violence Against the Person,Homicide,2019-12-01,0
Hackney,Violence Against the Person,Homicide,2019-12-01,1
Hammersmith and Fulham,Violence Against the Person,Homicide,2019-12-01,0
Haringey,Violence Against the Person,Homicide,2019-12-01,1
Harrow,Violence Against the Person,Homicide,2019-12-01,0
Havering,Violence Against the Person,Homicide,2019-12-01,1
Hillingdon,Violence Against the Person,Homicide,2019-12-01,0
Hounslow,Violence Against the Person,Homicide,2019-12-01,1
Islington,Violence Against the Person,Homicide,2019-12-01,0
Kensington and Chelsea,Violence Against the Person,Homicide,2019-12-01,1
Kingston upon Thames,Violence Against the Person,Homicide,2019-12-01,1
Lambeth,Violence Against the Person,Homicide,2019-12-01,0
Lewisham,Violence Against the Person,Homicide,2019-12-01,1
London Heathrow and London City Airports,Violence Against the Person,Homicide,2019-12-01,0
Merton,Violence Against the Person,Homicide,2019-12-01,0
Newham,Violence Against the Person,Homicide,2019-12-01,1
Redbridge,Violence Against the Person,Homicide,2019-12-01,0
Richmond upon Thames,Violence Against the Person,Homicide,2019-12-01,0
Southwark,Violence Against the Person,Homicide,2019-12-01,0
Sutton,Violence Against the Person,Homicide,2019-12-01,0
Tower Hamlets,Violence Against the Person,Homicide,2019-12-01,0
Waltham Forest,Violence Against the Person,Homicide,2019-12-01,1
Wandsworth,Violence Against the Person,Homicide,2019-12-01,1
Westminster,Violence Against the Person,Homicide,2019-12-01,0
Barking and Dagenham,Violence Against the Person,Homicide,2020-01-01,0
Barnet,Violence Against the Person,Homicide,2020-01-01,1
Bexley,Violence Against the Person,Homicide,2020-01-01,0
Brent,Violence Against the Person,Homicide,2020-01-01,0
Bromley,Violence Against the Person,Homicide,2020-01-01,0
Camden,Violence Against the Person,Homicide,2020-01-01,0
Croydon,Violence Against the Person,Homicide,2020-01-01,1
Ealing,Violence Against the Person,Homicide,2020-01-01,1
Enfield,Violence Against the Person,Homicide,2020-01-01,0
Greenwich,Violence Against the Person,Homicide,2020-01-01,0
Hackney,Violence Against the Person,Homicide,2020-01-01,1
Hammersmith and Fulham,Violence Against the Person,Homicide,2020-01-01,0
Haringey,Violence Against the Person,Homicide,2020-01-01,0
Harrow,Violence Against the Person,Homicide,2020-01-01,0
Havering,Violence Against the Person,Homicide,2020-01-01,0
Hillingdon,Violence Against the Person,Homicide,2020-01-01,0
Hounslow,Violence Against the Person,Homicide,2020-01-01,0
Islington,Violence Against the Person,Homicide,2020-01-01,1
Kensington and Chelsea,Violence Against the Person,Homicide,2020-01-01,0
Kingston upon Thames,Violence Against the Person,Homicide,2020-01-01,0
Lambeth,Violence Against the Person,Homicide,2020-01-01,0
Lewisham,Violence Against the Person,Homicide,2020-01-01,0
London Heathrow and London City Airports,Violence Against the Person,Homicide,2020-01-01,0
Merton,Violence Against the Person,Homicide,2020-01-01,0
Newham,Violence Against the Person,Homicide,2020-01-01,0
Redbridge,Violence Against the Person,Homicide,2020-01-01,3
Richmond upon Thames,Violence Against the Person,Homicide,2020-01-01,1
Southwark,Violence Against the Person,Homicide,2020-01-01,0
Sutton,Violence Against the Person,Homicide,2020-01-01,0
Tower Hamlets,Violence Against the Person,Homicide,2020-01-01,0
Waltham Forest,Violence Against the Person,Homicide,2020-01-01,1
Wandsworth,Violence Against the Person,Homicide,2020-01-01,0
Westminster,Violence Against the Person,Homicide,2020-01-01,1
Barking and Dagenham,Violence Against the Person,Homicide,2020-02-01,0
Barnet,Violence Against the Person,Homicide,2020-02-01,0
Bexley,Violence Against the Person,Homicide,2020-02-01,0
Brent,Violence Against the Person,Homicide,2020-02-01,1
Bromley,Violence Against the Person,Homicide,2020-02-01,0
Camden,Violence Against the Person,Homicide,2020-02-01,0
Croydon,Violence Against the Person,Homicide,2020-02-01,1
Ealing,Violence Against the Person,Homicide,2020-02-01,0
Enfield,Violence Against the Person,Homicide,2020-02-01,0
Greenwich,Violence Against the Person,Homicide,2020-02-01,1
Hackney,Violence Against the Person,Homicide,2020-02-01,0
Hammersmith and Fulham,Violence Against the Person,Homicide,2020-02-01,0
Haringey,Violence Against the Person,Homicide,2020-02-01,0
Harrow,Violence Against the Person,Homicide,2020-02-01,0
Havering,Violence Against the Person,Homicide,2020-02-01,0
Hillingdon,Violence Against the Person,Homicide,2020-02-01,0
Hounslow,Violence Against the Person,Homicide,2020-02-01,0
Islington,Violence Against the Person,Homicide,2020-02-01,0
Kensington and Chelsea,Violence Against the Person,Homicide,2020-02-01,1
Kingston upon Thames,Violence Against the Person,Homicide,2020-02-01,1
Lambeth,Violence Against the Person,Homicide,2020-02-01,0
Lewisham,Violence Against the Person,Homicide,2020-02-01,0
London Heathrow and London City Airports,Violence Against the Person,Homicide,2020-02-01,0
Merton,Violence Against the Person,Homicide,2020-02-01,0
Newham,Violence Against the Person,Homicide,2020-02-01,0
Redbridge,Violence Against the Person,Homicide,2020-02-01,0
Richmond upon Thames,Violence Against the Person,Homicide,2020-02-01,0
Southwark,Violence Against the Person,Homicide,2020-02-01,1
Sutton,Violence Against the Person,Homicide,2020-02-01,0
Tower Hamlets,Violence Against the Person,Homicide,2020-02-01,0
Waltham Forest,Violence Against the Person,Homicide,2020-02-01,1
Wandsworth,Violence Against the Person,Homicide,2020-02-01,0
Westminster,Violence Against the Person,Homicide,2020-02-01,0
Barking and Dagenham,Violence Against the Person,Homicide,2020-03-01,0
Barnet,Violence Against the Person,Homicide,2020-03-01,1
Bexley,Violence Against the Person,Homicide,2020-03-01,0
Brent,Violence Against the Person,Homicide,2020-03-01,0
Bromley,Violence Against the Person,Homicide,2020-03-01,0
Camden,Violence Against the Person,Homicide,2020-03-01,0
Croydon,Violence Against the Person,Homicide,2020-03-01,1
Ealing,Violence Against the Person,Homicide,2020-03-01,1
Enfield,Violence Against the Person,Homicide,2020-03-01,1
Greenwich,Violence Against the Person,Homicide,2020-03-01,1
Hackney,Violence Against the Person,Homicide,2020-03-01,1
Hammersmith and Fulham,Violence Against the Person,Homicide,2020-03-01,0
Haringey,Violence Against the Person,Homicide,2020-03-01,0
Harrow,Violence Against the Person,Homicide,2020-03-01,0
Havering,Violence Against the Person,Homicide,2020-03-01,0
Hillingdon,Violence Against the Person,Homicide,2020-03-01,1
Hounslow,Violence Against the Person,Homicide,2020-03-01,0
Islington,Violence Against the Person,Homicide,2020-03-01,0
Kensington and Chelsea,Violence Against the Person,Homicide,2020-03-01,0
Kingston upon Thames,Violence Against the Person,Homicide,2020-03-01,0
Lambeth,Violence Against the Person,Homicide,2020-03-01,0
Lewisham,Violence Against the Person,Homicide,2020-03-01,1
London Heathrow and London City Airports,Violence Against the Person,Homicide,2020-03-01,0
Merton,Violence Against the Person,Homicide,2020-03-01,0
Newham,Violence Against the Person,Homicide,2020-03-01,3
Redbridge,Violence Against the Person,Homicide,2020-03-01,1
Richmond upon Thames,Violence Against the Person,Homicide,2020-03-01,0
Southwark,Violence Against the Person,Homicide,2020-03-01,1
Sutton,Violence Against the Person,Homicide,2020-03-01,0
Tower Hamlets,Violence Against the Person,Homicide,2020-03-01,0
Waltham Forest,Violence Against the Person,Homicide,2020-03-01,0
Wandsworth,Violence Against the Person,Homicide,2020-03-01,0
Westminster,Violence Against the Person,Homicide,2020-03-01,0
Barking and Dagenham,Violence Against the Person,Homicide,2020-04-01,0
Barnet,Violence Against the Person,Homicide,2020-04-01,0
Bexley,Violence Against the Person,Homicide,2020-04-01,0
Brent,Violence Against the Person,Homicide,2020-04-01,1
Bromley,Violence Against the Person,Homicide,2020-04-01,0
Camden,Violence Against the Person,Homicide,2020-04-01,0
Croydon,Violence Against the Person,Homicide,2020-04-01,0
Ealing,Violence Against the Person,Homicide,2020-04-01,0
Enfield,Violence Against the Person,Homicide,2020-04-01,1
Greenwich,Violence Against the Person,Homicide,2020-04-01,0
Hackney,Violence Against the Person,Homicide,2020-04-01,1
Hammersmith and Fulham,Violence Against the Person,Homicide,2020-04-01,0
Haringey,Violence Against the Person,Homicide,2020-04-01,0
Harrow,Violence Against the Person,Homicide,2020-04-01,0
Havering,Violence Against the Person,Homicide,2020-04-01,0
Hillingdon,Violence Against the Person,Homicide,2020-04-01,1
Hounslow,Violence Against the Person,Homicide,2020-04-01,0
Islington,Violence Against the Person,Homicide,2020-04-01,0
Kensington and Chelsea,Violence Against the Person,Homicide,2020-04-01,0
Kingston upon Thames,Violence Against the Person,Homicide,2020-04-01,0
Lambeth,Violence Against the Person,Homicide,2020-04-01,2
Lewisham,Violence Against the Person,Homicide,2020-04-01,0
London Heathrow and London City Airports,Violence Against the Person,Homicide,2020-04-01,0
Merton,Violence Against the Person,Homicide,2020-04-01,0
Newham,Violence Against the Person,Homicide,2020-04-01,1
Redbridge,Violence Against the Person,Homicide,2020-04-01,2
Richmond upon Thames,Violence Against the Person,Homicide,2020-04-01,0
Southwark,Violence Against the Person,Homicide,2020-04-01,0
Sutton,Violence Against the Person,Homicide,2020-04-01,0
Tower Hamlets,Violence Against the Person,Homicide,2020-04-01,0
Waltham Forest,Violence Against the Person,Homicide,2020-04-01,2
Wandsworth,Violence Against the Person,Homicide,2020-04-01,1
Westminster,Violence Against the Person,Homicide,2020-04-01,0
Barking and Dagenham,Violence Against the Person,Homicide,2020-05-01,0
Barnet,Violence Against the Person,Homicide,2020-05-01,0
Bexley,Violence Against the Person,Homicide,2020-05-01,0
Brent,Violence Against the Person,Homicide,2020-05-01,0
Bromley,Violence Against the Person,Homicide,2020-05-01,0
Camden,Violence Against the Person,Homicide,2020-05-01,0
Croydon,Violence Against the Person,Homicide,2020-05-01,0
Ealing,Violence Against the Person,Homicide,2020-05-01,0
Enfield,Violence Against the Person,Homicide,2020-05-01,0
Greenwich,Violence Against the Person,Homicide,2020-05-01,0
Hackney,Violence Against the Person,Homicide,2020-05-01,0
Hammersmith and Fulham,Violence Against the Person,Homicide,2020-05-01,1
Haringey,Violence Against the Person,Homicide,2020-05-01,2
Harrow,Violence Against the Person,Homicide,2020-05-01,0
Havering,Violence Against the Person,Homicide,2020-05-01,0
Hillingdon,Violence Against the Person,Homicide,2020-05-01,0
Hounslow,Violence Against the Person,Homicide,2020-05-01,0
Islington,Violence Against the Person,Homicide,2020-05-01,1
Kensington and Chelsea,Violence Against the Person,Homicide,2020-05-01,0
Kingston upon Thames,Violence Against the Person,Homicide,2020-05-01,0
Lambeth,Violence Against the Person,Homicide,2020-05-01,1
Lewisham,Violence Against the Person,Homicide,2020-05-01,0
London Heathrow and London City Airports,Violence Against the Person,Homicide,2020-05-01,0
Merton,Violence Against the Person,Homicide,2020-05-01,0
Newham,Violence Against the Person,Homicide,2020-05-01,0
Redbridge,Violence Against the Person,Homicide,2020-05-01,1
Richmond upon Thames,Violence Against the Person,Homicide,2020-05-01,0
Southwark,Violence Against the Person,Homicide,2020-05-01,1
Sutton,Violence Against the Person,Homicide,2020-05-01,0
Tower Hamlets,Violence Against the Person,Homicide,2020-05-01,0
Waltham Forest,Violence Against the Person,Homicide,2020-05-01,0
Wandsworth,Violence Against the Person,Homicide,2020-05-01,1
Westminster,Violence Against the Person,Homicide,2020-05-01,0
Barking and Dagenham,Violence Against the Person,Homicide,2020-06-01,0
Barnet,Violence Against the Person,Homicide,2020-06-01,0
Bexley,Violence Against the Person,Homicide,2020-06-01,1
Brent,Violence Against the Person,Homicide,2020-06-01,2
Bromley,Violence Against the Person,Homicide,2020-06-01,0
Camden,Violence Against the Person,Homicide,2020-06-01,0
Croydon,Violence Against the Person,Homicide,2020-06-01,0
Ealing,Violence Against the Person,Homicide,2020-06-01,0
Enfield,Violence Against the Person,Homicide,2020-06-01,0
Greenwich,Violence Against the Person,Homicide,2020-06-01,0
Hackney,Violence Against the Person,Homicide,2020-06-01,1
Hammersmith and Fulham,Violence Against the Person,Homicide,2020-06-01,1
Haringey,Violence Against the Person,Homicide,2020-06-01,1
Harrow,Violence Against the Person,Homicide,2020-06-01,0
Havering,Violence Against the Person,Homicide,2020-06-01,0
Hillingdon,Violence Against the Person,Homicide,2020-06-01,0
Hounslow,Violence Against the Person,Homicide,2020-06-01,0
Islington,Violence Against the Person,Homicide,2020-06-01,0
Kensington and Chelsea,Violence Against the Person,Homicide,2020-06-01,0
Kingston upon Thames,Violence Against the Person,Homicide,2020-06-01,0
Lambeth,Violence Against the Person,Homicide,2020-06-01,0
Lewisham,Violence Against the Person,Homicide,2020-06-01,1
London Heathrow and London City Airports,Violence Against the Person,Homicide,2020-06-01,0
Merton,Violence Against the Person,Homicide,2020-06-01,1
Newham,Violence Against the Person,Homicide,2020-06-01,0
Redbridge,Violence Against the Person,Homicide,2020-06-01,0
Richmond upon Thames,Violence Against the Person,Homicide,2020-06-01,0
Southwark,Violence Against the Person,Homicide,2020-06-01,0
Sutton,Violence Against the Person,Homicide,2020-06-01,1
Tower Hamlets,Violence Against the Person,Homicide,2020-06-01,0
Waltham Forest,Violence Against the Person,Homicide,2020-06-01,0
Wandsworth,Violence Against the Person,Homicide,2020-06-01,0
Westminster,Violence Against the Person,Homicide,2020-06-01,0
Barking and Dagenham,Violence Against the Person,Homicide,2020-07-01,0
Barnet,Violence Against the Person,Homicide,2020-07-01,0
Bexley,Violence Against the Person,Homicide,2020-07-01,1
Brent,Violence Against the Person,Homicide,2020-07-01,3
Bromley,Violence Against the Person,Homicide,2020-07-01,2
Camden,Violence Against the Person,Homicide,2020-07-01,1
Croydon,Violence Against the Person,Homicide,2020-07-01,0
Ealing,Violence Against the Person,Homicide,2020-07-01,1
Enfield,Violence Against the Person,Homicide,2020-07-01,2
Greenwich,Violence Against the Person,Homicide,2020-07-01,1
Hackney,Violence Against the Person,Homicide,2020-07-01,0
Hammersmith and Fulham,Violence Against the Person,Homicide,2020-07-01,0
Haringey,Violence Against the Person,Homicide,2020-07-01,0
Harrow,Violence Against the Person,Homicide,2020-07-01,0
Havering,Violence Against the Person,Homicide,2020-07-01,0
Hillingdon,Violence Against the Person,Homicide,2020-07-01,0
Hounslow,Violence Against the Person,Homicide,2020-07-01,2
Islington,Violence Against the Person,Homicide,2020-07-01,1
Kensington and Chelsea,Violence Against the Person,Homicide,2020-07-01,0
Kingston upon Thames,Violence Against the Person,Homicide,2020-07-01,0
Lambeth,Violence Against the Person,Homicide,2020-07-01,1
Lewisham,Violence Against the Person,Homicide,2020-07-01,0
London Heathrow and London City Airports,Violence Against the Person,Homicide,2020-07-01,0
Merton,Violence Against the Person,Homicide,2020-07-01,0
Newham,Violence Against the Person,Homicide,2020-07-01,0
Redbridge,Violence Against the Person,Homicide,2020-07-01,0
Richmond upon Thames,Violence Against the Person,Homicide,2020-07-01,0
Southwark,Violence Against the Person,Homicide,2020-07-01,1
Sutton,Violence Against the Person,Homicide,2020-07-01,1
Tower Hamlets,Violence Against the Person,Homicide,2020-07-01,1
Waltham Forest,Violence Against the Person,Homicide,2020-07-01,0
Wandsworth,Violence Against the Person,Homicide,2020-07-01,0
Westminster,Violence Against the Person,Homicide,2020-07-01,1
Barking and Dagenham,Violence Against the Person,Homicide,2020-08-01,1
Barnet,Violence Against the Person,Homicide,2020-08-01,0
Bexley,Violence Against the Person,Homicide,2020-08-01,0
Brent,Violence Against the Person,Homicide,2020-08-01,1
Bromley,Violence Against the Person,Homicide,2020-08-01,0
Camden,Violence Against the Person,Homicide,2020-08-01,0
Croydon,Violence Against the Person,Homicide,2020-08-01,0
Ealing,Violence Against the Person,Homicide,2020-08-01,2
Enfield,Violence Against the Person,Homicide,2020-08-01,1
Greenwich,Violence Against the Person,Homicide,2020-08-01,0
Hackney,Violence Against the Person,Homicide,2020-08-01,0
Hammersmith and Fulham,Violence Against the Person,Homicide,2020-08-01,0
Haringey,Violence Against the Person,Homicide,2020-08-01,0
